Cbc0010I After 52400 nodes, 12597 on tree, 408 best solution, best possible 122.01497 (22400.20 seconds)
Cbc0010I After 52500 nodes, 12602 on tree, 408 best solution, best possible 122.01497 (22438.82 seconds)
Cbc0010I After 52600 nodes, 12595 on tree, 408 best solution, best possible 122.01497 (22529.93 seconds)
Cbc0010I After 52700 nodes, 12597 on tree, 408 best solution, best possible 122.01497 (22566.09 seconds)
Cbc0010I After 52800 nodes, 12594 on tree, 408 best solution, best possible 122.01497 (22592.76 seconds)
Cbc0010I After 52900 nodes, 12601 on tree, 408 best solution, best possible 122.01497 (22634.66 seconds)
Cbc0010I After 53000 nodes, 12603 on tree, 408 best solution, best possible 122.01497 (22694.90 seconds)
Cbc0010I After 53100 nodes, 12619 on tree, 408 best solution, best possible 122.01497 (22728.07 seconds)
Cbc0010I After 53200 nodes, 12621 on tree, 408 best solution, best possible 122.01497 (22756.86 seconds)
Cbc0010I After 53300 nodes, 12616 on tree, 408 best solution, best possible 122.01497 (22783.39 seconds)
Cbc0010I After 53400 nodes, 12613 on tree, 408 best solution, best possible 122.01497 (22815.36 seconds)
Cbc0010I After 53500 nodes, 12618 on tree, 408 best solution, best possible 122.01497 (22876.78 seconds)
Cbc0010I After 53600 nodes, 12618 on tree, 408 best solution, best possible 122.01497 (22949.27 seconds)
Cbc0010I After 53700 nodes, 12619 on tree, 408 best solution, best possible 122.01497 (23021.39 seconds)
Cbc0010I After 53800 nodes, 12614 on tree, 408 best solution, best possible 122.01497 (23099.89 seconds)
Cbc0010I After 53900 nodes, 12620 on tree, 408 best solution, best possible 122.01497 (23165.79 seconds)
Cbc0038I Full problem 20945 rows 37129 columns, reduced to 7345 rows 10095 columns
Cbc0010I After 54000 nodes, 12614 on tree, 408 best solution, best possible 122.01497 (23231.16 seconds)
Cbc0010I After 54100 nodes, 12621 on tree, 408 best solution, best possible 122.01497 (23309.19 seconds)
Cbc0010I After 54200 nodes, 12614 on tree, 408 best solution, best possible 122.01497 (23380.98 seconds)
Cbc0010I After 54300 nodes, 12616 on tree, 408 best solution, best possible 122.01497 (23465.06 seconds)
Cbc0010I After 54400 nodes, 12619 on tree, 408 best solution, best possible 122.01497 (23516.49 seconds)
Cbc0010I After 54500 nodes, 12615 on tree, 408 best solution, best possible 122.01497 (23603.49 seconds)
Cbc0010I After 54600 nodes, 12615 on tree, 408 best solution, best possible 122.01497 (23700.22 seconds)
Cbc0010I After 54700 nodes, 12618 on tree, 408 best solution, best possible 122.01497 (23743.28 seconds)
Cbc0010I After 54800 nodes, 12616 on tree, 408 best solution, best possible 122.01497 (23770.51 seconds)
Cbc0010I After 54900 nodes, 12613 on tree, 408 best solution, best possible 122.01497 (23799.60 seconds)
Cbc0010I After 55000 nodes, 12620 on tree, 408 best solution, best possible 122.01497 (23829.00 seconds)
Cbc0010I After 55100 nodes, 12610 on tree, 408 best solution, best possible 122.01497 (23860.52 seconds)
Cbc0010I After 55200 nodes, 12621 on tree, 408 best solution, best possible 122.01497 (23918.07 seconds)
Cbc0010I After 55300 nodes, 12611 on tree, 408 best solution, best possible 122.01497 (23981.45 seconds)
Cbc0010I After 55400 nodes, 12610 on tree, 408 best solution, best possible 122.01497 (24040.72 seconds)
Cbc0010I After 55500 nodes, 12614 on tree, 408 best solution, best possible 122.01497 (24084.71 seconds)
Cbc0010I After 55600 nodes, 12618 on tree, 408 best solution, best possible 122.01497 (24140.94 seconds)
Cbc0010I After 55700 nodes, 12613 on tree, 408 best solution, best possible 122.01497 (24212.44 seconds)
Cbc0010I After 55800 nodes, 12614 on tree, 408 best solution, best possible 122.01497 (24296.54 seconds)
Cbc0010I After 55900 nodes, 12614 on tree, 408 best solution, best possible 122.01497 (24326.36 seconds)
Cbc0010I After 56000 nodes, 12613 on tree, 408 best solution, best possible 122.01497 (24370.56 seconds)
Cbc0010I After 56100 nodes, 12617 on tree, 408 best solution, best possible 122.01497 (24413.02 seconds)
Cbc0010I After 56200 nodes, 12618 on tree, 408 best solution, best possible 122.01497 (24478.02 seconds)
Cbc0010I After 56300 nodes, 12615 on tree, 408 best solution, best possible 122.01497 (24549.39 seconds)
Cbc0010I After 56400 nodes, 12611 on tree, 408 best solution, best possible 122.01497 (24618.50 seconds)
Cbc0010I After 56500 nodes, 12610 on tree, 408 best solution, best possible 122.01497 (24680.72 seconds)
Cbc0010I After 56600 nodes, 12614 on tree, 408 best solution, best possible 122.01497 (24733.50 seconds)
Cbc0010I After 56700 nodes, 12618 on tree, 408 best solution, best possible 122.01497 (24792.08 seconds)
Cbc0010I After 56800 nodes, 12632 on tree, 408 best solution, best possible 122.01497 (24873.86 seconds)
Cbc0010I After 56900 nodes, 12618 on tree, 408 best solution, best possible 122.01497 (24942.08 seconds)
Cbc0010I After 57000 nodes, 12617 on tree, 408 best solution, best possible 122.01497 (25021.14 seconds)
Cbc0010I After 57100 nodes, 12637 on tree, 408 best solution, best possible 122.01497 (25060.50 seconds)
Cbc0010I After 57200 nodes, 12642 on tree, 408 best solution, best possible 122.01497 (25097.98 seconds)
Cbc0010I After 57300 nodes, 12642 on tree, 408 best solution, best possible 122.01497 (25154.58 seconds)
Cbc0010I After 57400 nodes, 12638 on tree, 408 best solution, best possible 122.01497 (25194.65 seconds)
Cbc0010I After 57500 nodes, 12639 on tree, 408 best solution, best possible 122.01497 (25249.25 seconds)
Cbc0010I After 57600 nodes, 12639 on tree, 408 best solution, best possible 122.01497 (25300.00 seconds)
